codigo;identificador;direccion_del_qr;nombre_comun;nombre_cientifico;pais;anio;sala;fotos
P414-048;bufalo-de-agua-mediterraneo;https://pabellon414.com/p/bufalo-de-agua-mediterraneo;BUFALO DE AGUA MEDITERRANEO;Bubalus bubalis;Argentina;2015;Sector 6 – Patio Interior;2
P414-047;berberisco-aoudad-barbary-sheep;https://pabellon414.com/p/berberisco-aoudad-barbary-sheep;Berberisco / Aoudad / Barbary Sheep;Ammotragus lervia;México;2025;Sector 4 – Oficina / Hall;6
P414-049;carnero-arapawa;https://pabellon414.com/p/carnero-arapawa;CARNERO ARAPAWA;Ovis aries arapawa;Nueva Zelanda;2017;Sector 4 – Oficina / Hall;3
P414-001;ciervo-dama;https://pabellon414.com/p/ciervo-dama;Ciervo Dama;Dama dama;Nueva Zelanda;2016;Sector 1 – Salón Principal Pared Oeste;4
P414-002;axis-ciervo;https://pabellon414.com/p/axis-ciervo;Axis Ciervo;Axis axis;Argentina;2010;Sector 1 – Salón Principal Pared Oeste;3
P414-003;dama-ciervo;https://pabellon414.com/p/dama-ciervo;Dama Ciervo;Dama dama;España;;Sector 1 – Salón Principal Pared Oeste;0
P414-004;alce;https://pabellon414.com/p/alce;Alce;Alces alces;Rusia;2018;Sector 1 – Salón Principal Pared Oeste;5
P414-005;ciervo;https://pabellon414.com/p/ciervo;Ciervo;Cervus elaphus;Argentina;;Sector 1 – Salón Principal Pared Oeste;3
P414-006;ciervo-2;https://pabellon414.com/p/ciervo-2;Ciervo;Cervus elaphus;España;;Sector 1 – Salón Principal Pared Oeste;0
P414-007;corzo;https://pabellon414.com/p/corzo;Corzo;Capreolus capreolus;España;;Sector 1 – Salón Principal Pared Oeste;1
P414-008;muflon;https://pabellon414.com/p/muflon;Muflon;Ovis aries musimon;España;;Sector 1 – Salón Principal Pared Este;1
P414-009;rebeco;https://pabellon414.com/p/rebeco;Rebeco;Rupicapra rupicapra;Nueva Zelanda;2011;Sector 1 – Salón Principal Pared Este;2
P414-010;macho-montes;https://pabellon414.com/p/macho-montes;Macho Montes;Capra pyrenaica;España;;Sector 1 – Salón Principal Pared Este;4
P414-011;ibex-beceite;https://pabellon414.com/p/ibex-beceite;Ibex Beceite;Capra pyrenaica hispanica;España;2015;Sector 1 – Salón Principal Pared Este;5
P414-012;urogallo;https://pabellon414.com/p/urogallo;Urogallo;Tetrao urogallus;Rusia;;Sector 1 – Salón Principal Pared Este;1
P414-013;snow-sheep;https://pabellon414.com/p/snow-sheep;Snow Sheep;Ovis nivicola;Rusia;2018;Sector 1 – Salón Principal Pared Este;4
P414-014;tahr;https://pabellon414.com/p/tahr;Tahr;Hemitragus jemlahicus;Nueva Zelanda;;Sector 1 – Salón Principal Pared Este;1
P414-015;marco-polo;https://pabellon414.com/p/marco-polo;Marco Polo;Ovis ammon polii;Tayikistán;2014;Sector 1 – Salón Principal Pared Este;7
P414-016;ibex-bezoar;https://pabellon414.com/p/ibex-bezoar;Ibex Bezoar;Capra aegagrus;Turquía;2015;Sector 1 – Salón Principal Pared Este;4
P414-017;impala;https://pabellon414.com/p/impala;Impala;Aepyceros melampus;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;2
P414-018;waterbuck;https://pabellon414.com/p/waterbuck;Waterbuck;Kobus ellipsiprymnus;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;2
P414-019;gnu-azul;https://pabellon414.com/p/gnu-azul;Gñu;Connochaetes taurinus;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;1
P414-020;elk;https://pabellon414.com/p/elk;Elk;Cervus canadensis;Nueva Zelanda;2016;Sector 1 – Salón Principal Pared Sur;5
P414-021;ciervo-3;https://pabellon414.com/p/ciervo-3;Ciervo NZ;Cervus elaphus;Nueva Zelanda;2011;Sector 1 – Salón Principal Pared Sur;4
P414-022;jabali;https://pabellon414.com/p/jabali;Jabali;Sus scrofa;Turquía;2015;Sector 1 – Salón Principal Pared Sur;2
P414-023;eland;https://pabellon414.com/p/eland;Eland;Taurotragus oryx;Sudáfrica;2021;Sector 1 – Salón Principal Pared Sur;2
P414-024;facochero;https://pabellon414.com/p/facochero;Facochero;Phacochoerus africanus;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;4
P414-025;kudu;https://pabellon414.com/p/kudu;Kudu;Tragelaphus strepsiceros;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;1
P414-026;springbuck;https://pabellon414.com/p/springbuck;Springbuck;Antidorcas marsupialis;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;2
P414-027;orix;https://pabellon414.com/p/orix;Orix;Oryx gazella;Sudáfrica;2021;Sector 1 – Salón Principal Pared Sur;2
P414-028;mule-deer;https://pabellon414.com/p/mule-deer;Mule Deer;Odocoileus hemionus;Estados Unidos;;Sector 1 – Salón Principal Pared Sur;3
P414-029;whitetail;https://pabellon414.com/p/whitetail;Venado Coues;Odocoileus virginianus couensi;México;2025;Sector 1 – Salón Principal Pared Sur;3
P414-030;caiman-entrada;https://pabellon414.com/p/caiman-entrada;Caiman Alligator;Alligator mississippiensis;Estados Unidos;2018;Sector 1 – Salón Principal Pared Sur;3
P414-031;piel-caiman;https://pabellon414.com/p/piel-caiman;Piel Caiman;Alligator mississippiensis;Estados Unidos;;Sector 1 – Salón Principal Pared Sur;0
P414-032;piel-de-zebra;https://pabellon414.com/p/piel-de-zebra;Piel De Zebra;Equus quagga;Sudáfrica;;Sector 1 – Salón Principal Pared Sur;2
P414-033;venado;https://pabellon414.com/p/venado;Venados del Perú;Odocoileus virginianus peruvianus;Perú;;Sector 1 – Zona Escaleras;12
P414-034;antilope-negro;https://pabellon414.com/p/antilope-negro;Antilope Negro;Antilope cervicapra;Argentina;2015;Sector 2 – Comedor;2
P414-035;escudo-ciervo;https://pabellon414.com/p/escudo-ciervo;Escudos de Ciervo;Cervus elaphus;Argentina;;Sector 2 – Comedor;1
P414-036;escudo-beceite;https://pabellon414.com/p/escudo-beceite;Escudo Beceite;Capra pyrenaica hispanica;España;;Sector 4 – Oficina / Hall;5
P414-037;escudo-thar;https://pabellon414.com/p/escudo-thar;Escudo Thar;Hemitragus jemlahicus;Nueva Zelanda;2014;Sector 4 – Oficina / Hall;7
P414-038;replica-rhino;https://pabellon414.com/p/replica-rhino;Rinoceronte (Green hunt);Ceratotherium simum;Sudáfrica;2021;Sector 5 – Entrada Exterior;1
P414-039;palma-de-oso;https://pabellon414.com/p/palma-de-oso;Oso Grizzly;Ursus arctos;Rusia;;Fotos en cuadros;4
P414-040;bongo;https://pabellon414.com/p/bongo;Bongo;Tragelaphus eurycerus;Camerún;;Fotos en cuadros;4
P414-041;gacela-anatolia;https://pabellon414.com/p/gacela-anatolia;Gacela Anatolia;Gazella gazella;Siria;;Fotos en cuadros;2
P414-042;marco-polo-craneo;https://pabellon414.com/p/marco-polo-craneo;Marco Polo Craneo;Ovis ammon polii;Tayikistán;;Fotos en cuadros;6
P414-043;markhor;https://pabellon414.com/p/markhor;Markhor;Capra falconeri;Tayikistán;;Fotos en cuadros;2
P414-044;borrego-cimarron;https://pabellon414.com/p/borrego-cimarron;Borrego Cimarron;Ovis canadensis;México;2025;Fotos en cuadros;3
P414-045;bufalos-brasil;https://pabellon414.com/p/bufalos-brasil;Bufalos Brasil;Bubalus bubalis;Brasil;2019;Fotos en cuadros;3
P414-046;leon;https://pabellon414.com/p/leon;Leon;Panthera leo;Sudáfrica;2021;Fotos en cuadros;5
